Article	language	programming	computer	software	hardware	data	player	online	system	development	machine	console	developer	design	history	technology	standard	information	article	example	
User_interface	7	6	34	27	6	3	0	2	23	4	13	4	0	26	7	2	9	17	0	4	
Adventure_game	2	4	24	6	3	1	31	10	5	10	0	4	1	12	5	0	1	3	3	4	
Role-playing_video_game	0	1	18	0	0	0	31	13	23	3	0	15	1	2	17	2	0	5	0	8	
Strategy_video_game	0	1	12	0	0	2	19	16	0	1	0	0	0	3	4	1	0	0	0	4	
Pong	0	0	4	0	0	0	4	0	0	3	0	5	0	1	7	1	1	0	0	1	
Action_role-playing_game	0	1	3	0	0	0	7	6	4	0	0	0	0	0	4	0	1	0	1	1	
Video_game_industry	1	2	10	8	4	1	3	11	3	27	2	17	11	10	16	8	1	1	0	2	
Massively_multiplayer_online_game	0	1	5	1	0	1	11	76	1	2	0	2	0	0	5	4	0	1	0	8	
Real-time_strategy	0	1	4	3	0	0	10	10	1	2	0	2	1	1	3	2	1	1	2	10	
Educational_game	2	0	3	2	0	3	2	0	1	1	0	0	0	0	0	4	5	2	0	0	
Amusement_arcade	0	0	0	0	1	1	7	0	2	1	7	3	0	0	7	3	0	0	0	1	
Game_designer	1	0	2	4	2	0	20	1	1	14	1	0	7	191	7	3	1	7	1	7	
Action_game	0	1	0	0	0	0	30	5	1	0	0	0	0	1	1	0	0	1	0	1	
Video_game_design	1	4	3	3	3	0	11	1	3	11	1	0	1	193	3	3	2	6	1	5	
Atari	0	0	10	0	0	0	0	0	7	3	1	11	1	1	7	1	0	0	1	0	
List_of_most-played_video_games_by_player_count	0	1	0	1	2	0	8	12	2	1	0	5	0	4	0	0	0	0	0	0	
Nintendo_Switch	0	0	3	18	16	2	5	20	29	10	0	55	1	9	4	1	6	0	1	2	
Serious_game	0	3	1	1	0	3	0	6	3	5	0	1	1	8	2	1	0	1	0	0	
PlayStation_4	0	0	0	22	22	1	2	11	34	4	1	29	1	3	3	1	1	1	0	0	
Arcade_cabinet	0	1	2	1	3	2	12	0	5	0	4	3	0	1	0	0	4	0	0	0	
Level_design	1	2	1	5	2	2	13	0	1	3	0	0	1	142	4	2	0	2	0	2	
List_of_Game_of_the_Year_awards	0	1	7	25	0	1	2	6	3	3	0	16	0	16	0	0	0	0	2	0	
Game_controller	0	0	9	0	1	1	3	1	4	1	0	11	0	1	0	4	2	0	0	3	
Online_game	0	2	2	5	1	0	9	55	2	3	0	6	0	5	8	1	0	0	0	0	
Super_Nintendo_Entertainment_System	0	2	2	2	6	8	2	0	25	2	0	37	1	6	6	0	3	0	0	1	
Video_game_music	1	3	11	7	9	10	7	6	13	11	0	13	6	11	2	13	2	0	2	8	
Game_Boy	0	0	2	0	2	1	3	0	13	2	2	7	0	2	3	0	2	0	0	0	
Nintendo	0	0	4	18	8	1	4	2	47	53	2	41	6	7	7	13	3	3	1	4	
Space_Invaders	0	1	1	0	6	1	4	0	0	5	0	0	0	2	2	2	0	0	0	2	
Tactical_role-playing_game	0	1	6	4	0	0	14	11	9	4	0	4	4	1	7	1	1	1	3	2	
Video_game_developer	1	2	0	10	0	1	0	0	1	13	0	5	21	11	1	0	1	1	0	3	
Stealth_game	0	1	0	1	0	0	14	4	2	0	0	0	0	1	2	0	0	0	0	0	
Microsoft_Flight_Simulator	0	0	3	14	5	2	0	2	5	10	0	0	2	2	6	0	3	0	1	1	
Taito_Corporation	0	0	1	6	0	0	0	0	0	2	1	4	0	0	2	0	0	0	1	0	
Kinect	0	0	3	15	15	5	2	1	9	7	1	7	4	3	3	4	2	0	0	1	
PlayStation_Network	0	2	2	15	9	0	2	25	27	1	1	3	1	0	2	1	0	2	0	0	
Game_Developers_Conference	0	2	8	0	1	0	3	4	0	3	0	3	1	11	1	0	0	0	0	1	
History_of_video_games	0	6	64	15	19	2	8	24	41	16	5	83	4	7	27	10	11	0	3	2	
Xbox_360	0	0	0	13	7	1	3	8	14	5	0	28	2	1	4	0	2	3	0	0	
PlayStation	0	0	16	20	17	0	4	19	33	5	1	42	0	2	3	1	2	0	2	0	
List_of_best-selling_video_game_franchises	1	1	16	13	3	0	8	8	5	13	0	16	8	7	2	0	0	0	0	0	
Touchscreen	0	0	10	4	1	2	0	0	17	3	1	1	0	5	3	36	2	5	1	4	
Sports_game	0	1	5	0	0	1	9	8	0	0	0	4	0	1	6	0	0	0	0	5	
Augmented_reality	3	0	13	12	2	14	1	2	43	8	1	0	2	22	1	31	2	29	2	8	
Ping_pong	0	0	0	0	0	0	29	0	9	0	0	0	0	0	1	0	1	0	0	6	
Gamepad	0	0	3	4	0	0	0	0	1	0	0	6	0	2	1	1	2	0	1	0	
Video_game	1	4	24	8	5	2	23	22	13	15	0	28	0	9	6	7	1	5	0	10	
Nim	0	0	1	0	0	0	28	0	1	0	1	0	0	0	0	0	1	1	0	6	
Console_game	0	1	1	6	19	4	10	9	4	27	1	73	5	5	3	6	2	1	1	5	
History_of_video_game_consoles_(second_generation)	0	0	9	0	3	0	0	2	13	2	1	26	1	0	11	2	0	0	0	0	
Turn-based_tactics	0	1	4	0	1	0	2	9	4	0	0	0	0	0	2	0	1	0	0	0	
Joystick	0	0	9	1	1	2	2	1	2	1	0	2	0	1	1	5	6	0	1	4	
Shooter_game	0	1	1	0	0	1	9	5	1	1	0	0	0	0	0	1	0	0	0	0	
Rockstar_Games	0	0	0	2	0	0	0	1	0	5	0	0	0	1	1	5	0	0	0	0	
Mobile_gaming	4	6	3	6	5	2	8	4	4	5	0	8	1	6	2	3	0	2	0	4	
Massively_multiplayer_online_role-playing_game	0	1	0	5	1	2	10	43	6	8	0	1	0	5	8	0	0	1	0	5	
Interactive_fiction	17	8	7	12	0	0	18	10	7	10	5	0	0	1	5	0	3	4	0	3	
History_of_video_game_consoles_(third_generation)	0	0	7	2	2	2	1	2	27	3	0	13	0	0	13	2	1	0	0	0	
Nintendo_Entertainment_System	0	0	26	13	22	5	3	0	89	3	4	48	0	17	5	4	6	7	0	1	
Handheld_game_console	0	0	6	7	5	2	5	3	29	5	2	44	0	13	2	4	2	1	0	1	
Game_development	8	12	9	17	3	1	2	7	2	88	0	9	21	46	4	3	3	5	2	7	
Video_game_genre	0	2	1	0	1	0	4	8	0	1	0	4	0	5	1	0	0	0	0	2	
Fighting_game	0	1	0	0	0	0	8	4	1	0	0	0	0	1	2	0	0	0	1	0	
Arcade_game	0	1	4	1	57	0	5	6	9	3	4	13	0	5	9	2	0	0	1	0	
