@RELATION spiral

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {A,B,C}

@DATA
0.146,-0.140,C
0.128,-0.169,C
0.131,-0.180,C
0.090,-0.214,C
0.168,-0.175,C
0.099,-0.232,C
0.088,-0.247,C
0.077,-0.262,C
0.113,-0.259,C
0.087,-0.280,C
0.145,-0.266,C
0.084,-0.302,C
0.077,-0.314,C
0.003,-0.333,C
0.096,-0.330,C
-0.051,-0.350,C
-0.117,-0.344,C
0.126,-0.352,C
-0.075,-0.377,C
-0.111,-0.378,C
-0.026,-0.403,C
-0.063,-0.409,C
-0.103,-0.412,C
-0.109,-0.421,C
-0.128,-0.426,C
-0.026,-0.454,C
-0.286,-0.366,C
-0.302,-0.366,C
-0.167,-0.455,C
-0.128,-0.478,C
-0.325,-0.386,C
-0.256,-0.447,C
-0.340,-0.400,C
-0.325,-0.425,C
-0.426,-0.341,C
-0.447,-0.329,C
-0.361,-0.435,C
-0.326,-0.475,C
-0.332,-0.483,C
-0.526,-0.280,C
-0.418,-0.439,C
-0.497,-0.364,C
-0.513,-0.359,C
-0.570,-0.283,C
-0.452,-0.462,C
-0.621,-0.214,C
-0.650,-0.148,C
-0.652,-0.181,C
-0.654,-0.210,C
-0.685,-0.130,C
-0.704,-0.062,C
-0.557,-0.452,C
-0.694,0.218,C
-0.737,0.024,C
-0.741,-0.101,C
-0.757,-0.033,C
-0.756,0.133,C
-0.774,0.072,C
-0.763,-0.195,C
-0.654,0.457,C
-0.790,0.172,C
-0.725,0.379,C
-0.815,0.148,C
-0.660,0.517,C
-0.762,0.373,C
-0.727,0.456,C
-0.837,0.232,C
-0.636,0.607,C
-0.681,0.571,C
-0.586,0.682,C
-0.791,0.448,C
-0.766,0.508,C
-0.352,0.860,C
-0.801,0.491,C
-0.678,0.665,C
-0.461,0.842,C
-0.601,0.761,C
-0.496,0.845,C
-0.628,0.766,C
-0.473,0.881,C
